Name,Class 10th Percentage (%),Class 12th Percentage (%),Mathematics-I [T],Applied Physics-I [T],Applied Chemistry [T],Communication Skills [T],Applied Physics-I [P],Applied Chemistry [P],Communication Skills [P],Engineering Graphics [P],Engineering Workshop Practice [P],Sports and Yoga [P],Semester-I (SGPA),Mathematics-II [T],Applied Physics-II [T],Introduction to IT Systems [T],Fundamentals of Electrical and Electronics Engineering [T],Engineering Mechanics [T],Applied Physics-II [P],Introduction to IT Systems [P],Fundamentals of Electrical and Electronics Engineering [P],Engineering Mechanics [P],Semester-II (SGPA),Computer Programming [T],Scripting Languages [T],Data Structures [T],Computer System Organisation [T],Algorithms [T],Computer Programming [P],Scripting Languages [P],Data Structures [P],Summer Internship-I,Semester-III (SGPA),Operating Systems [T],Introduction to DBMS [T],Computer Network [T],Software Engineering [T],Web Technologies [T],Operating Systems [P],Introduction to DBMS [P],Computer Networks [P],Web Technologies [P],Minor Project [P],Semester-IV (SGPA),E-Governance [T],IoT [T],Information Security [T],Advance Computer Network [T],Data Sciences [T],Renewable Energy [T],Summer Internship-II,Semester-V (SGPA),Entrepreneurship and Startup [T],Mobile Computing [T],Software Testing [T],Project Management [T],Artificial Intelligence [T],Mobile Computing [P],Software Testing [P],Major Project [P],Seminar,Semester-VI (SGPA),final_cgpa,Information Security [P]
Student_497,80.76,78.6,A,A,A,C,A,B,C+,A+,A+,B+,8.18,B+,A,C+,C,B,B+,A,B,A+,8.28,B,A+,B+,C+,C,C,A+,B+,C,7.16,A+,C+,B,C,B,C,B,C+,C,A+,6.24,B+,B,C+,B,C,A,C+,9.75,B,A+,B,C+,A+,A+,C,B+,A,6.07,,B
Student_498,74.92,91.23,B,A+,A,A+,B+,B,B,A,A,A,9.63,C+,A,B,C+,A+,A,C+,A,C+,8.18,C+,C,A+,B+,A+,A,C+,B,A+,7.79,B,A,C,C+,C+,A+,B,C,B,C,7.99,C+,A+,C+,A+,A,C,B+,6.12,B,C,A+,B,B+,A,C+,C,B+,6.94,,A
Student_499,76.33,64.76,C+,A,B+,C+,B,A+,C,A,A+,A+,8.29,B,C+,C,C,A+,B,C+,A,C+,7.91,A,B,B+,A,C,B+,A,B,A+,9.62,A+,A,B+,B+,B+,B,B+,A,C+,C+,7.49,A+,A,B+,C+,B,B,B+,7.27,A+,C+,B,A,B,A+,C,B,A+,7.04,,A
Student_500,70.25,82.75,B+,A+,A+,C,C,B+,B,B+,B,A+,6.96,C,B+,A,A,C+,A,A,C+,B,7.61,B+,B,C,C,B,B,A+,A+,A,7.79,C,B,C,B+,A+,A,C+,B+,B+,C,6.53,C,A+,C+,C,B+,C+,C+,6.65,A,B+,C,A,C,C,A,C,B,8.85,,C+
Student_501,68.07,92.82,A,B,B,C,B+,C+,C+,B+,A,B,8.96,B+,B,C+,B+,C+,A+,A+,A,B,8.44,B+,B,C+,C,C,A+,C,B+,C,6.4,C,A,C,B+,B+,A+,A,A+,C,C+,9.61,B+,C,B,B+,B+,C,B,8.76,A,C+,B,C+,A+,C,B,C,C,8.62,,A
Student_502,67.48,76.9,A,A,B,B+,C,B,A+,A,C+,B+,6.75,B+,C,B+,B+,C+,A+,B,B+,A+,7.57,C,A+,A+,A,A,C+,B+,C+,B+,7.36,B,B+,B+,A,C,A,C+,B+,A,A+,6.06,A,C,C,A,B,B,B+,7.74,B,B,C+,A,C+,B+,A+,C+,A+,7.98,,B+
Student_503,91.46,66.43,B,C,B+,A,C,C+,A+,B+,A,A+,7.02,A+,C,A+,B,A,C+,B+,C,A,9.34,B,C,A,A,B+,C+,B,A,C+,7.27,A,C,B+,A,B,A+,B+,A+,C,C,7.6,C+,B,C+,C,A,B+,B+,7.93,B+,B,C+,C,B,C+,C,B,B,6.04,,C
Student_504,89.51,61.83,A,B+,A+,C,C+,A+,B+,C,C+,C+,9.48,C+,C,A,A+,B+,C+,A+,A,A+,8.14,B+,A+,A,A+,A,A,C,A+,C,6.96,C+,C,C+,B,A,B+,B,B,B,B+,8.53,B+,B+,A,C,B,C+,B+,9.18,A,A,A+,B+,C+,A,B,A+,A,8.26,,A
Student_505,78.86,86.51,C+,B,B+,C+,C+,B+,C+,A+,B+,C+,8.51,C+,A,A,C+,B+,B,A,A+,B+,6.17,A+,B+,A,A,B+,B,B,A+,C+,7.87,A,C+,B,B,C+,C,C+,B,C,B,7.34,C+,C,B+,C,A,A+,B,8.52,A+,A+,A,B+,A,A+,B+,B,C+,6.48,,A+
Student_506,93.58,64.55,C+,A,B+,C,C+,C+,A,C,A,C+,8.95,C,C,C+,B+,B,A+,A,A,A,8.73,A+,A+,B+,B,C+,C,B+,C,B+,9.67,B,A,B+,A+,A+,C,C+,B+,C,B,7.9,A,C+,C+,C,C+,B+,C+,9.6,B,A,B+,A+,B,A+,B,B+,B,7.81,,A
Student_507,84.09,64.21,B+,B+,B,C,A,A,A+,A+,C+,C,9.33,C,B,B+,C+,B,B+,B,A+,A+,6.12,C+,A+,C,A+,B+,B+,B,C,C,6.97,C+,A+,A+,A,A+,B,B+,B+,A,A+,8.73,A+,C,C,B,C+,A+,C+,9.77,B+,A,C+,C,C,B+,B+,C+,A+,7.06,,A+
Student_508,88.2,82.11,C,A,A+,C+,B,B+,A,B,C,C+,9.49,A+,C,B+,B+,C+,B,A,B+,B+,9.03,B,C+,C,B+,A+,B+,C,A,A,6.25,C+,A,C+,C+,C,A+,A,A+,B,A+,8.67,B,A+,A+,A,C+,C+,B,6.72,B,B,C,C,C,C+,C+,C+,A+,6.74,,B+
Student_509,93.39,71.21,C,A+,C+,A+,C+,C,C,C,A,A+,8.94,A,B,C+,A+,B,A,C,B,A+,9.23,B+,C,B,C,B,B+,C,C+,A,6.26,B,C+,A+,A,C,C+,B,C+,B,A,6.77,B,B+,B,B+,A+,C+,B+,6.29,A,B+,B+,C+,A,C+,A,C,B+,9.67,,B
Student_510,89.8,67.84,C,C,A,B+,C,A,B+,A+,B,C+,7.16,C,A+,A+,C,C+,A,C,B,C+,8.55,A,B+,B+,A+,B+,C,C,A,C,7.31,B+,C+,B+,C+,C+,C,B,C,B,A,9.46,C,A,C,C,A,A,A+,6.27,B,B+,B+,B+,B,B+,C,A,C,8.29,,B
Student_511,89.3,71.42,A,C+,B,B,B,C+,A+,C+,C,B+,9.29,C,C+,A,C,A+,C+,A,B+,B,8.44,A,C+,C,C,A,B,A,B+,B,8.55,C+,C,A+,B+,A,C+,A+,B,A+,C+,8.02,C+,C+,B+,B,C+,A+,A+,9.23,A,B+,B,C,A,B+,C+,B+,A+,8.73,,B+
Student_512,82.44,76.7,A+,C+,B+,C+,A,B+,C,C,A,C+,8.51,B+,A,B+,B,C+,C+,B,B+,A,8.39,B+,A+,B,C,C+,B+,C+,A+,B,8.74,C,A+,B,B,B,B+,A+,B+,A+,C,6.71,A,B+,C,B,A+,C,A,8.82,C,C,A,C,C+,C+,C+,C+,A+,7.83,,B+
Student_513,67.11,88.86,B+,B,B,B+,B+,C,A+,C+,A,B+,8.68,B,A+,C+,C+,B+,C,A,A+,B,9.37,A,C+,A,B,B+,A+,C,C,C,7.93,C+,B+,B,C+,C+,B+,B+,C,B+,C,9.54,B,A,B+,B,B,C+,C+,7.04,A,B,A+,A,B+,A,B+,A+,B,9.02,,A+
Student_514,72.75,86.18,A+,B,C,B,C,C,C+,B+,B+,C+,6.58,A,B,C,B+,C,C+,B,B+,A,6.74,B,C,A,C,C,A,C,C,A+,7.45,B+,B+,A,C+,B,B+,B,A,B,B,8.29,C+,C+,A+,C+,C+,B,B,6.87,B+,B,B,B,C,B,C,A,B+,6.65,,B+
Student_515,71.21,89.67,A+,C+,A+,B,B+,A,C,B+,C,A,8.26,C,B,A,A,B+,B,B+,A+,A,9.01,C+,B,C,A,B,B,A+,B+,A+,7.83,A+,C,B,C+,B,B+,A+,B+,A+,B,9.48,A+,A,C+,B,A+,A+,A+,7.85,A,C+,C+,B+,A+,C+,A+,C,C+,9.24,,A+
Student_516,75.95,65.7,A,A,B,C+,C,B+,B+,A,A+,A+,7.93,A,C+,B+,C,A,B+,A,B+,A,9.55,A,A+,A,C+,B+,B,C,A,A,6.18,C+,C+,C+,C,A,A+,C,B+,C,A,6.55,A+,A,A+,C+,C+,B+,A,6.77,C+,C+,B,A+,B,B+,B+,A,B+,6.56,,B+
Student_517,67.82,81.05,B+,C,C,B+,A+,C,B,B,B+,A,9.55,A+,B,B,C,A+,C,A+,A+,B,8.08,B,C+,B+,C+,B,C+,A+,C,A+,8.51,A+,C+,C+,A,A,B,B+,A+,B,C,8.77,A+,A,C+,A+,B+,A+,B,6.11,B,C+,B+,A+,A,A,A+,C,C,8.5,,A+
Student_518,76.24,91.11,C+,A,A+,C+,C+,A+,A,A,A,A,9.39,C+,A,C,A+,A+,B,C+,C,A+,6.44,C,A,A,B,A,A+,A+,A+,C,7.62,B+,C,A,C+,C+,A+,A,A+,B,C,6.66,C+,A+,B+,A,A,C,C,9.72,A,A+,B+,A+,C+,B,C,A+,C+,9.59,,C
Student_519,92.78,88.6,A,C,B,A,A,A,C+,B+,C+,C+,8.84,A,C,C+,A,A+,A,A+,C+,A,7.17,A,B+,B,C+,B,C,B,C+,B,8.94,A,C+,A,B+,B,B+,A+,A+,C+,B+,7.53,B,B,C,A,C+,C,B+,7.34,B,B+,B,B+,C+,A+,C+,B+,B+,6.11,,C+
Student_520,82.05,80.63,C+,C+,B,B,B+,A+,C+,C,A+,B,9.65,A,B+,A,A+,B,A+,A+,C+,C+,9.33,A+,C+,A+,C,B,B+,C+,C,A+,9.14,C+,A+,A+,C,B,A,A,C,A,A,9.54,C+,B,A,A+,B+,C+,C,6.62,A,C,C,B,B+,A,C,C,B,9.74,,C+
Student_521,69.45,60.14,B+,C+,A,B+,B+,C,B+,A,B+,A,8.55,C,C,C,B,A+,C,A,B+,C,6.59,B+,B+,A+,C+,B,A+,B,C,B,6.94,C,B,B,A+,B+,A,B,A+,B,B+,6.59,A,A+,C+,C+,B,C+,A+,7.35,B+,A+,B,B,A,C+,A+,C,B+,9.04,,B+
Student_522,60.05,70.13,B+,B+,A+,B+,C+,A+,C,B+,A+,C+,7.93,B+,A+,A,C+,C,A,C,B+,B+,9.07,A,A,A,C,A,A,C+,A,A+,8.77,C+,C,A+,B+,B,A+,C+,C+,C+,A,8.41,A,C+,C+,C+,C+,A+,B,8.94,A,B+,A,C,A+,C,B+,B+,B+,8.26,,B+
Student_523,65.27,75.75,C+,A,C,A,A,B+,A,C,A,C,7.18,A+,C+,A+,A,B,B+,A+,C,B,7.5,B,B+,A,C+,C,B,C+,C+,C,9.68,B,C+,C,C+,C,B+,A,B,C,A+,8.1,C,A+,C,C+,B+,B+,B+,8.01,C+,C,B+,A,B,C+,A+,B,B+,9.15,,C
Student_524,63.22,90.77,C,A,C+,A+,A+,C,A,B,B+,B,9.66,C+,B+,C,B,B+,C,C+,B,B+,9.64,C+,C+,B,B+,C,B,C,C+,A,9.07,A,B,A,B,B,A,A+,A+,A,B,7.19,A,A+,B+,B+,C+,B,A,9.35,A+,C,B+,B,C+,B+,C,C+,C+,8.83,,B
Student_525,87.45,90.23,A,C+,A,B,A+,C+,A,B,A,A+,8.78,A+,B,A,A+,B,C+,A,A,B+,6.61,C,C+,C,B,A,B,C,B,C,6.9,C+,B,A+,B,B+,B,B,C+,A+,B+,7.21,C,B+,B,A+,A,B,B,8.17,C+,C+,C,C,A+,C+,A+,A+,C,9.52,,A
Student_526,71.17,80.32,B+,A+,C,C,C+,A+,A,A+,B,C+,6.47,A+,B+,B+,B+,A+,C,A,B,C+,8.52,B+,A,C,C,A,B+,A+,A,C,7.74,A,B+,A,B+,A,B+,A+,C,C+,C,7.95,A+,A+,B+,A+,A,C+,A+,6.82,A+,B,C,C+,C,B,B,C,B+,8.22,,B
Student_527,63.06,74.29,A+,A+,C+,A+,A,A+,B,B+,B,A,9.56,C+,A,A,A+,C,A+,A,C+,A+,9.43,A+,C+,B+,B+,B+,B+,C,C+,A,7.52,B,C+,A,A+,C,C,C+,B,A,C,6.73,B+,A,A+,A,C+,B+,C,6.6,C+,A,C,C,B,A+,A+,A,C,7.76,,C+
Student_528,84.53,91.78,C,C+,A+,C,B,B,C+,C+,A+,B+,6.5,B,C+,A+,C,C,C,B+,B,A+,8.44,A+,C,C,C+,C+,A,B+,A+,A,7.13,A+,C,B+,A+,C,B+,B+,A,A+,C,6.77,C,C+,C,B,C,C+,C+,8.33,C,C,A,C+,C,B,B+,C,A,7.35,,B
Student_529,75.3,79.32,C+,C+,C,B+,C+,A+,B+,B,A+,B,6.03,A,B+,B,A,C+,B,B+,A,B,7.6,A,A+,C,A,A,B,C,A,A+,6.1,C+,A,A,A,B,A+,B+,A+,A,C+,8.45,A,A+,B+,A+,A,C+,A,9.16,A+,C+,C,C,A+,C+,C,A,B,6.46,,A
Student_530,90.81,84.6,B,B+,C+,C+,B+,B+,C,C,C,C+,9.29,A,A,B+,C,C+,C,C,C,B,7.26,A,C,A+,A+,B+,C,C,A,A,6.8,B,B,B+,C,A,A,B+,C+,B,C+,8.69,B+,A+,B+,C,A+,A,C+,8.09,B,C,A+,A,A,C+,A,B+,B+,7.67,,C
Student_531,67.71,86.49,A,A,A+,B+,C,A+,C,A+,C,A+,7.1,A,A+,B,C+,A,A+,A+,B,C+,8.86,C,B,B+,C,B,A,B+,A+,B+,6.99,A+,C,B+,B,B+,C,C+,A+,A,A+,8.93,B,C,B,B,A,A+,A,8.79,B+,B,C,A+,B,B+,C+,C,A,6.63,,B
Student_532,88.19,63.98,C,C,A,C,B,A,A,B+,A+,C,9.51,A,A,A+,A+,A+,B+,B+,B,B,8.87,B,C,A+,C,A+,B,B,B+,C+,6.37,A+,C,C+,B+,B,B+,C+,C+,B,C+,6.08,C,A,B,C,A,A,A+,9.58,A,B+,A+,B+,B+,A,B+,A,C,8.05,,B
Student_533,79.42,66.02,A,B,C,C,B,A,B+,B,A,A,8.76,A+,C+,A+,B,A,A,B+,B,B+,7.19,B+,A,C+,A+,A,A+,A+,C+,A+,6.58,B,C+,B,C+,A+,A,A+,A+,B+,C,8.73,C+,C,A,A+,B+,A+,B,8.64,C+,C+,B,C+,A+,A+,A+,C+,C,7.72,,B
Student_534,69.45,81.6,A+,C+,B,B,A+,B,C,B,A+,A+,7.36,A,C+,C+,B,B+,A+,A+,A+,A,6.07,A+,C+,B+,B,B,C,C+,A,A+,6.79,C,B,A,C,A,A,C,A,A,B,8.85,B+,B+,B,C+,C+,C,B+,6.21,B+,B,B,B+,A,B,B,A+,B,8.09,,A+
Student_535,63.72,93.25,B,C+,C,C,B,B+,C+,A,A+,A+,8.33,B,B+,B+,A+,C,A,C+,A+,B+,7.4,C,B+,C,C+,A,B,B+,B+,B,8.25,A,B,C+,A+,A+,A+,A,A,B+,B+,7.11,A+,A+,A+,C+,B,C,B,7.31,C+,B+,C+,C+,B,A+,B,A,B+,6.19,,A+
Student_536,69.87,60.35,A+,B,B,C+,C+,B+,B,C,C,C,6.4,A,B,C,B+,C,C,C,B+,A,7.94,A,C+,A+,A,A,A+,A,A,C+,8.68,C+,A+,A,A,B+,A,A,A+,A+,C,6.61,C,B,C+,A,B,C+,C+,8.62,A,A,C+,B,A+,A,A,C,A,6.84,,B+
Student_537,81.67,71.27,A,B,C,B,C+,C+,B+,A+,C,A+,6.65,A+,B+,B,C+,B,C,A,B+,B+,8.53,B,C+,A+,B+,C,B,C+,C,B,7.91,C+,B+,C+,A,C+,B,A+,A+,B+,C+,7.48,C,A+,C+,B+,C,B,C+,6.7,A,B+,A,C+,C,B,A,B+,A+,7.85,,B+
Student_538,89.38,78.51,C,A,B+,B,B+,A,B,A,B,B+,6.52,C,C+,C+,C+,B,A+,B,B,B,6.16,B,B,C,A,A+,C+,C,A+,C,7.93,C+,C,C+,C,A,B+,A,B+,A,B,8.67,B+,C+,B+,C+,C+,A+,C+,7.42,A+,C+,B,A,B+,C+,C,B+,B+,7.16,,B
Student_539,64.35,71.43,C,B+,B+,B,C,A,C,C,B,B,8.46,B,B+,A,C+,A,A+,C+,C+,B,9.11,B+,B,C+,B+,A,C,C,A+,B,9.44,B+,B+,C+,C,B+,B+,B+,C,A+,B+,9.58,B+,B+,B,C+,B,B,C+,6.78,C+,A+,B,B+,C+,C+,B,B+,A,6.96,,C+
Student_540,74.11,85.35,A+,C,B,A,B+,B+,A+,C,B+,A,6.02,C+,A,B,C+,C,A+,C,C+,B+,8.54,C,B+,C,B+,B+,A,C+,C+,B,7.05,C+,A+,C,C+,C+,B,C+,A,A,A,8.94,C+,B+,A+,B,C,C+,A,7.17,C,C,A,C+,C+,C,A,A+,C,9.79,,C+
Student_541,65.71,68.71,B,B+,C+,C+,C,B,C,B+,A,A+,8.17,B,B,C+,A+,B+,A,A,C,B+,7.08,A+,B,C+,A+,C+,C+,C,C+,A+,9.56,A+,A+,A+,C+,A,A,B,A,B+,B+,6.35,A,B+,B,A+,B,C+,A,7.24,A+,A+,B+,A,B+,B+,A+,A+,B,9.72,,C
Student_542,63.98,92.86,A+,B,B,B+,A+,C,C+,A+,C+,C,8.31,A+,A,B,A,A+,B+,B+,B,A+,7.61,B,B,B,A+,C,C,B+,A,C+,7.46,A,C+,B,B+,B,A+,C,C+,A+,C+,6.09,A+,B,C,B+,B+,B+,C,7.61,B+,C+,B+,A+,A,C,A,B+,B+,9.22,,B
Student_543,66.38,93.8,B+,A+,A,C,C+,B+,A+,B+,A+,B+,7.68,C+,A,A+,A,A+,B,B,B,B+,7.23,A+,A+,C,C+,A+,C,B,A,A+,8.68,A,C+,B+,A+,C,B,A,C,B,B+,8.56,A+,B+,B+,A+,A+,A,B+,9.22,B+,B+,B,C+,B,C+,A+,C,B,6.49,,B
Student_544,87.88,71.53,C,B+,B,C,C,A,B,A,C+,A,7.28,C+,B+,B,A+,B,C+,C,A,A+,9.12,C,A+,A+,C,C,A,A,A+,B,8.24,C+,B+,A+,A+,B,A+,A,B,A+,C,6.85,C+,A,A,C+,B+,B+,B+,9.7,A,A+,A,B+,A+,C,B,A+,C,7.17,,A
Student_545,78.57,89.62,C,A+,A,B+,B+,B+,C,C+,A,C,7.45,B,A,A,A,B,B,A,C,A+,7.78,B,A+,A+,A,C+,C,A+,A,A+,9.13,C+,B,A+,C,C,A,B+,A,C,B+,9.46,A,B,B+,A+,A+,B+,C,7.38,A+,A+,B,B,C+,A+,A+,B,A,8.4,,C
Student_546,79.84,65.88,A+,A,C+,B,B+,C,C,C+,B+,C,7.81,A,B,C+,B,B,A+,B+,B+,C,7.83,B,B+,A,B,B,B,A,B+,C,8.75,C+,C,A,A+,B,B,B+,A,A,B,6.37,B+,C,B,B+,A,B,A+,9.04,A+,B+,A+,B,A+,A+,A,C,C,9.44,,B+
Student_547,81.7,84.45,A+,B+,C,B,A,C,A+,B+,A+,B,6.12,A,B,C,C+,B,B,A+,C+,C+,8.93,B+,B+,C+,B,A,A+,C,A,A+,6.88,A,C,A+,C+,A+,C,C+,C,C,B,8.36,B,A,A+,B,A+,A,C+,6.52,A,B,A+,A+,B+,C,B+,C,A,8.15,,C+
Student_548,78.97,69.13,A+,C,C,B+,B+,A+,A+,C+,C,A,9.66,A,B+,C+,A,A+,B+,C,A+,A+,6.1,C,A,C,B,C+,C+,C+,C+,C+,8.49,B+,C,A+,C+,C+,B+,B,C,C+,A,7.47,A,C+,A,B,C+,A,B,9.46,C,B+,B,A,C,B+,A,B,A+,9.16,,A+
Student_549,82.49,60.22,A,C+,B,C,C+,B+,A,A,C+,C,8.78,C,A+,B+,C,A,C,A+,A,C+,7.95,C,A+,C+,A,A+,C+,C,A,A+,7.3,B,B,B+,B+,B+,A,C+,B,B,A,7.49,A,B,B,C+,C+,B,C+,7.96,A,A+,B,A,C,A+,C,B,A,6.63,,A
Student_550,93.67,66.09,C,A+,C+,C+,B+,C+,A,C+,A,C,6.35,A,A,C+,A+,A+,B,A,A,B+,9.1,C,A+,B,B+,A,B,A+,B+,A,7.65,A+,B+,C,A,A+,A,A+,C+,B,B+,7.45,B,A,C+,C+,C+,A,B+,8.01,A,C,C,C+,B+,B,A+,A+,C,8.89,,A
Student_551,75.22,70.1,C,B,B,B+,C,C,A+,A+,C,B+,8.6,B,C+,C+,A,A,B,C,C,A,8.77,A+,C+,B,C,A+,B,C,A+,B+,7.66,A+,B+,B+,B,C+,C+,C,B,A,B+,7.12,C+,A,C+,C,B,A+,A,6.01,A+,C+,C,B+,C,B,A,A,A,7.45,,C
Student_552,89.87,72.18,C+,A+,A,A+,A+,B+,A,A+,B,A+,7.59,A,C,A,C+,B,B,A+,B,B,9.58,B,B+,A+,B,B+,A+,B+,B,C+,9.32,C+,B,A,A,B,C+,B,C+,B,C+,7.08,A,A,C,A+,B+,C+,A,7.12,B+,A,A,B,C,B,B,A+,C,7.43,,B
Student_553,76.07,67.07,B+,A,C+,C,C,B+,C+,B,C+,A+,7.82,B,B,A,C,C,C,B+,B,A,7.36,A,A,B,B+,C,B+,A,C,A,6.36,B,B+,C+,A+,A,C,B+,A+,A,B+,8.16,A+,C+,C+,A,C,C,B,8.25,A,B,C,A,C+,A,C,B+,B+,7.69,,B
Student_554,91.31,70.08,B+,C,A,A+,C,A+,C,A,C+,A+,6.61,B+,C,A,A+,C,C+,A,B+,B,7.51,B+,A,B,B,A+,B,A,C,C,6.14,B,B,C+,B,C,C,B+,A,B+,C+,8.38,C+,C,A,C,A+,B,A,7.55,B,B+,A+,B,C+,B+,A+,B,A+,6.91,,B+
Student_555,78.96,88.53,C,C,A,C,C+,C,C,A,C,A+,9.53,A+,B,A+,C,B,A+,A,A+,A,6.53,A,C,C,A+,C+,C,C,C,C,6.47,B,A+,C,C+,A+,A+,C+,C,B+,C+,7.85,B,A,C,C+,A,C,C+,8.02,C,B,B+,B+,A,C,C,A,A+,7.35,,A+
Student_556,77.77,92.46,A+,B,B+,B+,B+,B+,B,C,C+,B,8.65,C+,A,C,B+,C,B,B,A,B+,9.36,A+,A+,A+,A+,B,B+,A,B+,C,7.52,B,A,B,A+,B+,C,A,B+,B+,C,7.99,B,C+,B+,B,A+,A,C+,7.3,B+,A,C+,B,B+,B+,A+,A,B+,6.43,,A
Student_557,91.54,72.5,C+,B+,C+,B+,B+,C,A+,B,C,A+,8.19,B,A,B,C+,B,C,B,C+,B+,8.93,A+,C+,C+,C,B,B+,A+,A,A,9.13,A,A,B+,B,B+,A+,B,A+,B,C,8.51,C,B+,B+,B+,B+,B+,A,7.61,B,C,A+,B,B+,A,B+,C+,C,6.35,,C+
Student_558,78.3,87.13,C,A,C+,A,C,B+,C,A,B,C,6.31,A,B,A,C,C+,B,C+,C,C,8.27,B+,B+,C,A,B,A,C,B+,B,6.78,B,B,A,A,A+,A,C,B,A+,C+,8.14,B+,A+,B,A,C+,B+,B,9.02,B,B,B+,C,A+,B+,B+,A+,B+,6.66,,C
Student_559,89.23,75.47,A+,B,B+,C,C+,A+,C,B,B+,C+,7.28,C+,C,C+,C,C,C,B+,C,B,8.41,B,B,C,B+,A,A,B,B,B+,6.17,B,B,C+,B+,A,B+,A,A,B+,A+,8.98,C+,A+,B+,A+,B,C+,B,6.73,A,C+,B+,A+,C+,C+,C,B+,C+,8.42,,C
Student_560,64.3,83.85,A,B+,B,C,B+,C+,C,B,C,C,9.66,B,A,C+,B+,A+,A+,A,A+,B+,8.68,B+,A+,B+,B+,B,A,B+,B,C,8.89,A+,A+,A+,A,B+,C+,A+,C+,C,A+,7.57,C+,A+,C+,A,B,C+,C,6.28,C,B+,A+,B,A+,C,B,B,C+,8.51,,A+
Student_561,63.09,84.88,C+,C+,B+,A,B+,B,C,B,C+,A,8.77,B+,A,A+,B+,A+,B,A,A,B,6.61,B,A+,B,A,C,C,B+,A,C,9.53,C+,A,B+,B+,A,C,B,A+,C+,A+,7.08,C,C,B,C,B+,C,C,7.18,A,C,A,A,C+,A+,B,C,B+,7.96,,A
Student_562,63.65,85.86,A,A,A,C,B,B,C,A+,B,C+,7.49,C+,B,A,A+,C,B,A+,A,C,8.31,C+,C+,B,B+,B+,A+,B,B,A+,7.78,C+,C+,C+,A,C+,C+,A+,C,C+,B,7.74,C,A+,C+,A+,C+,A,B+,6.55,B,B+,C+,A+,C,A,B+,C+,A,6.63,,A
Student_563,67.78,82.51,B+,C,C+,A,C+,C+,C,B,C+,A+,7.2,B+,A,B+,B,A,C,C+,B+,A+,9.73,A,A+,B,A+,A+,A+,C,A+,C,9.06,C+,C+,A,B,A+,C+,B,A,A,C,6.37,A,B,A+,B+,C+,C,B,8.69,B,A+,C,A,C,C,B+,A+,C,8.51,,B+
Student_564,84.07,83.08,A+,C+,C+,C,B+,B+,A+,A+,A+,A+,6.8,C,B,A,A,B,B+,C,C+,B,8.97,A,B+,C,C+,A,C,B+,A+,B,6.38,C,A+,C,B+,C,B,A+,B,A+,C,7.04,B,C,A,A+,A,A,C+,8.65,C+,B,C+,B+,C+,B+,B,A+,C+,6.09,,C+
Student_565,93.39,60.57,B,C,C,A+,C,C+,B,C+,C,A,7.03,B,A+,A,C+,C,A,B+,A+,B+,8.43,C+,B,B+,A+,C+,C,A,C,A,6.99,B,A,C,C,C,A+,B+,A,A+,C,8.14,A+,B,B,B+,A,A,C,6.91,B+,B+,C,C+,A,B,A,A,C,7.6,,A+
Student_566,68.71,89.21,A+,C+,A,C,B,B,C+,C,A,A+,7.72,A,C+,C+,A+,A+,A+,A,A+,B,6.8,C+,C+,B,A,B,B+,C+,B+,B,6.82,B+,C,A,A+,C,B,B+,A+,A,B+,7.85,B,A,C+,C,C,C,A+,7.78,B+,C+,A,A,A,B,B,B,A,9.04,,A+
Student_567,89.48,62.89,C,B+,B+,B+,C+,A,A+,A+,C,C,7.72,B+,B+,A,A+,C+,A,B+,A+,A,8.12,A+,B,A,A,C+,C+,B+,B+,C+,7.12,C,C+,A+,C,C+,A+,A,C+,B,A+,7.56,C+,A,C,A,A,A+,B+,6.28,A+,C+,B,C,C,A+,A+,A,C,7.45,,A+
Student_568,64.98,63.93,C+,B,B+,B,C,B+,A+,A+,B+,C+,7.04,B+,C,B+,A+,C,B,A,A+,A+,6.45,C,A+,B,C,A,C+,C+,A,C+,6.69,B+,A,A+,C+,A,A+,B,B,A+,B+,8.06,C,B+,B,C+,A+,B+,A+,7.95,A,A,A,A,B+,A+,B+,B+,C,9.59,,A+
Student_569,87.55,82.38,C,A,B,C,A,A,A,C+,B+,A,9.49,B,B+,B+,B+,B+,B,A+,B,A,6.43,A+,A,C,C,C,B+,B,C,A,8.55,C+,B,A,B,C+,A,A,B,B,C,9.16,B+,A,B,C+,A+,B,B,8.4,A,A,B+,A,B,B+,A,C+,B+,6.53,,B
Student_570,78.98,60.43,A+,B+,B,B+,C,C+,C+,A+,A+,A,6.47,B,A,A+,C+,A+,B+,B+,B+,A+,7.66,A+,C,C+,C,B,C,B,A+,C,7.98,B,A+,B,A,A,A,A+,A,C+,C+,7.85,A+,A,C+,B,A+,A,C+,8.11,B+,B+,A,A,C,C+,B+,C,C+,6.06,,B+
Student_571,64.92,67.57,C,A,A+,A,A+,A,B,C+,A+,C,9.42,B+,C,A+,A+,C,A+,B,C+,B+,7.05,C+,A+,C+,A,C,A,A,B,A,7.82,C,A+,B,C,A+,A+,B+,C+,B+,C+,9.07,B,C,C,C+,C+,C,A+,7.56,A,B+,B+,B+,C+,A,C,B+,B+,7.51,,C+
Student_572,90.72,85.27,A+,B+,A+,A,A+,B,C+,B,A+,B+,9.25,B,A,B+,B+,C,C+,B,A,B+,7.08,B,B+,B+,A,A,B,A,A+,C,7.82,A+,A,A+,A+,C,C+,C+,A,A+,B,6.89,C+,C,A+,B+,A+,B+,C,9.75,C,A,A+,B+,A+,B,A,B+,B+,6.41,,A
